Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
pp71_D101_RM19,0.01765471,0.112918187,0.009644157,0.057346998,0.128028781,0,0.083954976,0,0.007833766,0,0.098995875,0,0.197579206,0.061785282,0,0,0,0,0,0.018434046,0,0.205824018,0,0.449755051,0.893588132
pp71_D101_RM17,0,0.118745955,0.027565135,0.038210811,0.081352279,0,0.076068701,0,0,0,0.093679731,0,0.149555272,0.058089651,0,0,0,0.004751777,0.022089069,0,0,0.329891618,0,0.462657307,0.891130641
TB6Ag_D105_RM10,0.006918223,0.258037765,0.007041988,0.104461609,0.182052211,0,0.145567734,0,0,0,0.156232523,0,0.064524023,0.003677077,0,0,0,0.000506445,0,0.003944416,0,0.067035987,0,0.493224998,0.869393415
TB6Ag_D105_RM11,0.046667455,0.053708633,0.006185089,0.147394638,0.110902069,0,0.17586578,0,0,0,0.175905201,0,0.080629483,0.063713692,0,0.004726974,0,0,0,0.004918488,0,0.129382499,0,0.426267161,0.906084431
TB6Ag_D105_RM12,0.00204669,0.106385775,0.011239144,0.144650721,0.098410333,0.001585588,0.288109652,0,0,0,0.211266447,0,0.045894863,0,0,0.023902769,0.003257985,0.004014886,0,0.002214307,0,0.057020839,0,0.402628629,0.922413604
TB6Ag_D105_RM3,0.034684953,0.130707146,0.002861867,0.119208963,0.045096676,0.090644021,0.164102083,0,0,0,0.195766366,0,0.029965282,0.03619876,0,0.00502398,0,0,0,0.01791028,0,0.127829623,0,0.315972625,0.967079594
TB6Ag_D105_RM1,0.029082467,0.145732559,0,0.097632987,0.224764441,0.047444275,0.137170247,0,0,0,0.192057783,0,0.072413202,0,0,0.004441533,0,0.00122074,0,0,0,0.048039766,0,0.448447302,0.897385837
TB6Ag_D105_RM2,0.000569394,0.079127515,0.009199695,0.129497523,0.113736778,0.059962957,0.294753561,0,0,0,0.214465811,0,0.034094579,0,0,0.008734271,0.003549496,0.005046494,0,0,0,0.047261926,0,0.394555678,0.931033763
TB6Ag_D105_RM7,0.020759701,0.075157239,0.040636967,0.135327159,0.243564101,0,0.149430821,0,0,0,0.122539385,0,0.061357999,0.031243353,0,0,0,0,0,0.002744425,0,0.11723885,0,0.446069313,0.895971936
TB6Ag_D105_RM4,0,0.076453014,0.014364937,0.008195679,0.064403982,0.008408899,0.092295259,0,0,0,0.07335498,0,0.077812943,0.14415989,0,0,0,0,0.006576037,0,0,0.433974382,0,0.501664661,0.876294542
TB6Ag_D105_RM6,0,0.168425147,0.011889824,0.02192183,0.142673615,0.115778071,0.149351669,0,0,0,0.179661951,0,0,0.015361047,0,0.008958808,0.004593581,0.002108063,0.010953733,0,0.000496507,0.167826153,0,0.364081217,0.941108233
TB6Ag_D105_RM5,0,0.167426117,0.005581967,0.069857291,0.02550691,0.011303729,0.123170083,0,0,0,0.081284105,0,0.165933073,0.089315618,0,0,0,0,0,0.013836683,0,0.246784424,0,0.440107361,0.900173914
TB6Ag_D105_RM8,0.0419504,0.116247624,0.006150325,0.112333432,0.162090055,0.019610076,0.15146432,0,0,0,0.176604085,0,0.093673487,0.021746262,0,0.003107122,0,0,0,0.012226901,0,0.08279591,0,0.363314202,0.940545015
TB6Ag_D105_RM9,0.063135557,0.019657507,0,0.105032829,0.159318108,0,0.151177227,0,0,0,0.17924705,0,0.16321954,0.019942638,0,0.004845257,0,0,0,0.008391132,0,0.126033154,0,0.400295003,0.920611838
pp71_D105_RM20,0.0359009,0.065646968,0.008442948,0.092733936,0.115461147,0.061794117,0.164378664,0,0,0,0.180524445,0,0.140169349,0.051068349,0,0,0,0,0,0.012584828,0,0.071294348,0,0.411464887,0.913085805
pp71_D105_RM13,0.047421431,0.098252728,0,0.136920812,0.154385412,0,0.171920083,0,0,0,0.218819572,0,0.099583231,0.0080539,0,0.00327729,0,0.004134461,0,0.016730498,0,0.040500583,0,0.423976201,0.909844712
pp71_D105_RM14,0.044431356,0.125344623,0.008046174,0.126601067,0.063164813,0,0.188697206,0,0,0,0.197425939,0,0.015838824,0.02631406,0,0.019128998,0,0.000681748,0,0.043935741,0,0.140389451,0,0.375478935,0.933298628
pp71_D105_RM15,0.04457192,0.065043578,0,0.06706047,0.104855658,0,0.188222416,0,0,0,0.19839865,0,0.002901375,0.036872555,0,0.022737972,0,0.001505214,0,0.054038114,0,0.213792078,0.06,0.165573797,1.038943138
pp71_D105_RM16,0.004213641,0.031047309,0.008672389,0.153085093,0.163571135,0.069022416,0.242136725,0,0,0,0.199981122,0,0.031055734,0,0,0.019395645,0.00586288,0.003806677,0,0,0,0.068149233,0,0.403467101,0.927506729
pp71_D105_RM18,0,0.122999571,0.012618844,0.047798811,0.171777961,0.121126627,0.126164609,0,0,0,0.18135196,0,0.035464492,0.015516274,0.000600264,0.007714396,0.004134448,0.001963615,0,0,0.026674349,0.124093781,0,0.344213325,0.952088884
pp71_D105_RM19,0,0.059897249,0.006255812,0.075305426,0.123127914,0.027693745,0.18628928,0,0,0,0.154534874,0,0.089694217,0.066541881,0,0,0,0,0,0.022164564,0,0.188495037,0,0.374658011,0.933051171
pp71_D105_RM17,0.024917906,0.081299112,0.002906344,0.077934625,0.104684778,0.029295134,0.096793767,0,0,0,0.11329183,0,0.040274279,0.150797669,0,0,0,0,0.003504048,0,0,0.274300509,0,0.388791639,0.930919969
TB6Ag_D112_RM10,0.029010186,0.18954486,0.005718524,0.034489109,0.137124613,0.143401697,0.120888058,0,0,0,0.1826455,0,0.074049,0,0,0.001422202,0,0.01112932,0,0,0,0.070576932,0,0.391075778,0.928106803
TB6Ag_D112_RM11,0.03370446,0.112598934,0.002142691,0.146057488,0.105706636,0,0.173322021,0,0,0,0.144531745,0,0.084638964,0.053467005,0,0.003843818,0,0,0,0.001903433,0,0.138082805,0,0.442628838,0.896758115
TB6Ag_D112_RM12,0.00060574,0.097863876,0.012287856,0.078136738,0.138277876,0.06797257,0.249761813,0,0,0,0.203348734,0,0.032019206,0,0,0.025967517,0.003582506,0.003936494,0,0.017100514,0.008913238,0.060225323,0,0.323484491,0.963890734
TB6Ag_D112_RM3,0.027078393,0.161332385,0.00265687,0.09362131,0.043229527,0.134408845,0.111827049,0,0,0,0.161129813,0,0.076339807,0.028092183,0,0.006391621,0,0,0,0,0,0.153892196,0,0.334006671,0.957025746
TB6Ag_D112_RM1,0.026806235,0.193545353,0.005160073,0.069835471,0.238695817,0.104764323,0.061256999,0,0,0,0.109465944,0,0.073245777,0,0,0.015108263,0,0.012849988,0,0,0,0.089265757,0,0.449359829,0.895844131
TB6Ag_D112_RM2,0.000172955,0.128946536,0.005852509,0.087254043,0.162028946,0.143867042,0.093428799,0,0,0,0.164791677,0,0.062124047,0.019022467,0,0.007792342,0,0.017263204,0,0.011201527,0,0.096253908,0,0.346057611,0.952354384
TB6Ag_D112_RM7,0.01933616,0.11075619,0.036650807,0.111799536,0.241450025,0.044257262,0.145562592,0,0,0,0.15204155,0,0.063293734,0.010012138,0,0,0,0.000699821,0,0.001127499,0,0.063012688,0,0.448089975,0.896359243
TB6Ag_D112_RM4,0.007159068,0.082359373,0.027737965,0.028426369,0.084291637,0.068225847,0.107188051,0,0,0,0.107735468,0,0.028552176,0.101255559,0,0,0,0,0,0.019953811,0,0.337114676,0,0.450341749,0.89710221
